"","renta","esta_tren","esta_bus","farmacias","medicos","consultorios","comercios","transportes","ad_publ","longitud","latitud","Municipio","Prediccion"
"1","1",2.58096890160287,1.16126931783767,-0.400174033074509,-0.0645064694477172,-0.439557665604711,-0.203438514607819,-0.352935227739675,-0.0643015041859687,-3.8196207,40.4378698,"Sierra Central","1"
"2","3",-0.191466535727216,-0.137015075178846,-0.461160109729491,-0.424496324638986,-0.399113273062606,3.50864424505922,0.529183201802761,-0.103108408322036,-3.4921776,40.5304446,"Ajalvir","2"
"3","1",0.155087893939045,0.147608810982466,-0.414588923920232,-0.00450816024917244,-0.464212124072159,-0.030196550710228,-0.297215894716767,-0.0553950015973631,-3.6379744,40.0294906,"Aranjuez","1"
"4","1",-0.191466535727216,-0.14700187820205,-0.00986314248262391,-0.424496324638986,-0.286367603441808,-1.19192236519181,0.214901121156698,-0.615391351855939,-3.9239576,40.2085565,"Batres","1"
"5","1",-0.191466535727216,-0.14700187820205,-0.191712534690207,-0.424496324638986,-0.331798290954857,-0.632500295067057,-0.379229744447114,0.132277731519683,-4.4836036,40.2632605,"Cenicientos","1"
"6","1",-0.191466535727216,-0.179458988027463,-0.2161069653522,-0.424496324638986,-0.3378926514749,-0.471265199954447,-0.449348455666953,-0.00275120951114079,-4.2207087,40.3767757,"Chapinería","1"
"7","1",-0.191466535727216,-0.176962287271662,0.963696408482362,-0.424496324638986,-0.0431472154146301,-1.2362742682547,-0.592716177714659,-0.544457420525259,-3.2686615,40.4248085,"Corpa","1"
"8","1",0.501642323605306,0.18256262156368,-0.358038198294703,0.235485076545007,-0.461164943812137,0.548093456076637,3.52174962707802,-0.401476245040323,-3.5635828,40.4229024,"Coslada","1"
"9","2",-0.191466535727216,-0.137015075178846,-0.371344251383063,-0.424496324638986,-0.420443534882758,0.358678975040092,-0.160108771885118,-0.400999110973076,-3.5159004,40.6341055,"Fuente el Saz de Jarama","1"
"10","1",-0.191466535727216,-0.161982082736856,-0.19614788571966,-0.424496324638986,-0.332906356503956,0.0570370265847397,-0.550770162967077,-0.17006622242566,-3.164424,40.1188932,"Fuentidueña de Tajo","1"
"11","2",-0.191466535727216,-0.176962287271662,-0.721736982709869,-0.424496324638986,1.10979498842263,1.12050254754025,3.19682452776466,-0.265652080564088,-3.644327,41.0179223,"Gascones","2"
"12","1",-0.191466535727216,-0.179458988027463,-0.721736982709869,-0.424496324638986,4.96752519760996,1.51991471324473,-0.886338280947734,1.33958596634299,-3.4573889,41.0775168,"Hiruela (La)","2"
"13","1",-0.191466535727216,-0.0995645638418316,-0.299269797154448,-0.424496324638986,-0.429031042888273,-0.729045321623847,-0.507572028376284,-0.122829949768234,-3.9260852,40.6218485,"Hoyo de Manzanares","1"
"14","3",-0.191466535727216,-0.17196888576006,1.05240342907143,-0.424496324638986,-0.0209859044326549,0.0624278656310579,-0.886338280947734,0.371480943899376,-3.8036612,40.9555015,"Lozoya","1"
"15","2",0.155087893939045,0.25746364423771,-0.391303331015603,-0.088505793127135,-0.464212124072159,0.821556018608053,-0.505067788689861,-0.0765479452453013,-3.8981943,40.4639103,"Majadahonda","1"
"16","1",-0.191466535727216,-0.161982082736856,-0.446745218883768,1.06346174348492,-0.464212124072159,-0.668030825145063,-0.518841106965186,-0.431376646587784,-3.8660312,40.7275062,"Manzanares el Real","1"
"17","1",-0.191466535727216,-0.134518374423045,-0.447854056641131,-0.424496324638986,-0.441496780315634,0.119521751894337,-0.408654560762582,-0.515988421179537,-3.9842768,40.6773288,"Moralzarzal","1"
"18","1",-0.191466535727216,-0.142008476690448,-0.334752605390074,-0.424496324638986,-0.367533404913292,0.743633890574908,-0.774273554980313,-0.394319234031622,-4.0306544,40.7264451,"Navacerrada","1"
"19","1",-0.191466535727216,-0.159485381981055,0.185292302813319,-0.424496324638986,-0.237612719281462,-0.589128544558042,-0.124423356353593,-0.610142877116225,-3.7176338,40.8192448,"Navalafuente","1"
"20","2",-0.191466535727216,0.0252704739482177,-0.616397395760354,0.139487781827335,-0.451192353870248,0.139369841110327,0.135391511112774,-0.749625069441351,-3.5639412,40.5110559,"Paracuellos de Jarama","1"
"21","1",-0.191466535727216,-0.161982082736856,-0.284854906308725,-0.424496324638986,-0.355067667485931,-0.55972396794176,-0.467504193393518,0.303886951039423,-4.3487407,40.3615113,"Pelayos de la Presa","1"
"22","2",-0.191466535727216,-0.176962287271662,-0.721736982709869,-0.424496324638986,4.15282000263509,-1.17182923783735,0.0621425002849064,0.229454036548933,-3.5952259,41.1072912,"Robregordo","1"
"23","1",-0.191466535727216,-0.176962287271662,-0.721736982709869,-0.424496324638986,2.91400271874268,3.05140307867605,-0.886338280947734,-0.056667359110021,-3.6102229,41.139863,"Somosierra","2"
"24","1",-0.191466535727216,-0.17196888576006,-0.34029679417689,-0.424496324638986,-0.368918486849665,-0.538405649894956,1.01062328151755,-0.734515823978539,-3.3109323,40.2943098,"Valdilecha","1"
"25","1",-0.191466535727216,-0.174465586515861,0.667636727266358,-0.424496324638986,-0.117110590816972,-0.806967449656992,-0.729823300546308,-0.141597223079939,-3.2414465,40.0694258,"Villamanrique de Tajo","1"
"26","2",0.155087893939045,-0.142008476690448,-0.00764546696789724,-0.424496324638986,-0.107415017262358,-0.734436160670165,0.353260363831558,-0.0406038455127144,-4.1894165,40.5488928,"Zarzalejo","1"
